Typology,Code Disease,Preferred term,Prevalence Type,Prevalence Value
Disease,166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Cases/families,N/A
Disease,166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Point prevalence,N/A
Disease,58,Alexander disease,Annual incidence,N/A
Disease,58,Alexander disease,Point prevalence,N/A
Disease,166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Cases/families,N/A
Disease,166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Point prevalence,N/A
Disease,61,Alpha-mannosidosis,Point prevalence,N/A
Disease,61,Alpha-mannosidosis,Prevalence at birth,N/A
Disease,61,Alpha-mannosidosis,Prevalence at birth,N/A
Disease,61,Alpha-mannosidosis,Prevalence at birth,N/A
Disease,61,Alpha-mannosidosis,Prevalence at birth,N/A
Disease,61,Alpha-mannosidosis,Prevalence at birth,N/A
Disease,61,Alpha-mannosidosis,Prevalence at birth,N/A
Disease,166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Cases/families,N/A
Disease,166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Point prevalence,N/A
Disease,166038,"Metaphyseal chondrodysplasia, Kaitila type",Cases/families,N/A
Disease,166038,"Metaphyseal chondrodysplasia, Kaitila type",Point prevalence,N/A
Disease,93,Aspartylglucosaminuria,Prevalence at birth,N/A
Disease,93,Aspartylglucosaminuria,Point prevalence,N/A
Disease,93,Aspartylglucosaminuria,Prevalence at birth,N/A
Disease,93,Aspartylglucosaminuria,Prevalence at birth,N/A
Malformation syndrome,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Cases/families,N/A
Malformation syndrome,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Point prevalence,N/A
Disease,585,Multiple sulfatase deficiency,Cases/families,N/A
Disease,585,Multiple sulfatase deficiency,Point prevalence,N/A
Disease,118,Beta-mannosidosis,Prevalence at birth,N/A
Disease,118,Beta-mannosidosis,Prevalence at birth,N/A
Disease,118,Beta-mannosidosis,Prevalence at birth,N/A
Disease,118,Beta-mannosidosis,Prevalence at birth,N/A
Disease,118,Beta-mannosidosis,Point prevalence,N/A
Disease,141,Canavan disease,Point prevalence,N/A
Disease,141,Canavan disease,Annual incidence,N/A
Disease,141,Canavan disease,Prevalence at birth,N/A
Malformation syndrome,166063,Pontocerebellar hypoplasia type 4,Cases/families,N/A
Malformation syndrome,166063,Pontocerebellar hypoplasia type 4,Point prevalence,N/A
Clinical subtype,166078,Von Willebrand disease type 1,Point prevalence,N/A
Malformation syndrome,166073,Pontocerebellar hypoplasia type 6,Cases/families,N/A
Malformation syndrome,166073,Pontocerebellar hypoplasia type 6,Point prevalence,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Disease,213,Cystinosis,Point prevalence,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Disease,213,Cystinosis,Prevalence at birth,N/A
Clinical subtype,166084,Von Willebrand disease type 2A,Point prevalence,N/A
Disease,333,Farber disease,Cases/families,N/A
Disease,333,Farber disease,Point prevalence,N/A
Clinical subtype,166081,Von Willebrand disease type 2,Point prevalence,N/A
Disease,349,Fucosidosis,Cases/families,N/A
Disease,349,Fucosidosis,Point prevalence,N/A
Disease,349,Fucosidosis,Prevalence at birth,N/A
Disease,349,Fucosidosis,Prevalence at birth,N/A
Clinical subtype,166090,Von Willebrand disease type 2M,Point prevalence,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Point prevalence,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,N/A
Disease,365,Glycogen storage disease due to acid maltase deficiency,Point prevalence,N/A
Clinical subtype,166087,Von Willebrand disease type 2B,Point prevalence,N/A
Disease,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Prevalence at birth,N/A
Disease,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Point prevalence,N/A
Clinical subtype,166093,Von Willebrand disease type 2N,Point prevalence,N/A
Disease,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Prevalence at birth,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Clinical subtype,166096,Von Willebrand disease type 3,Point prevalence,N/A
Disease,367,Glycogen storage disease due to glycogen branching enzyme deficiency,Prevalence at birth,N/A
Disease,367,Glycogen storage disease due to glycogen branching enzyme deficiency,Point prevalence,N/A
Disease,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Cases/families,N/A
Disease,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Point prevalence,N/A
Disease,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Cases/families,N/A
Disease,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Point prevalence,N/A
Disease,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Point prevalence,N/A
Disease,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Prevalence at birth,N/A
Disease,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Prevalence at birth,N/A
Disease,447,Paroxysmal nocturnal hemoglobinuria,Annual incidence,N/A
Disease,447,Paroxysmal nocturnal hemoglobinuria,Point prevalence,N/A
Disease,447,Paroxysmal nocturnal hemoglobinuria,Point prevalence,N/A
Disease,166108,Birk-Barel syndrome,Cases/families,N/A
Disease,166108,Birk-Barel syndrome,Point prevalence,N/A
Disease,166113,Bazex syndrome,Cases/families,N/A
Disease,166113,Bazex syndrome,Point prevalence,N/A
Clinical group,535,Rare cutaneous lupus erythematosus,Point prevalence,N/A
Clinical group,535,Rare cutaneous lupus erythematosus,Annual incidence,N/A
Clinical group,535,Rare cutaneous lupus erythematosus,Point prevalence,N/A
Clinical group,535,Rare cutaneous lupus erythematosus,Annual incidence,N/A
Disease,166119,Isolated osteopoikilosis,Point prevalence,N/A
