Tipo de centro;Centros, plazas y residentes;Grado de urbanizacion;Total
Total;Centros;Total;6.815
Total;Centros;Ciudades o Zonas densamente pobladas;2.744
Total;Centros;Localidades o Zonas de densidad intermedia;2.135
Total;Centros;Zonas rurales o Zonas escasamente pobladas;1.936
Total;Plazas;Total;435.850
Total;Plazas;Ciudades o Zonas densamente pobladas;198.054
Total;Plazas;Localidades o Zonas de densidad intermedia;145.245
Total;Plazas;Zonas rurales o Zonas escasamente pobladas;92.551
Total;Residentes;Total;361.726
Total;Residentes;Ciudades o Zonas densamente pobladas;158.164
Total;Residentes;Localidades o Zonas de densidad intermedia;122.564
Total;Residentes;Zonas rurales o Zonas escasamente pobladas;80.998
Centros residenciales para mayores;Centros;Total;4.771
Centros residenciales para mayores;Centros;Ciudades o Zonas densamente pobladas;1.734
Centros residenciales para mayores;Centros;Localidades o Zonas de densidad intermedia;1.472
Centros residenciales para mayores;Centros;Zonas rurales o Zonas escasamente pobladas;1.565
Centros residenciales para mayores;Plazas;Total;357.123
Centros residenciales para mayores;Plazas;Ciudades o Zonas densamente pobladas;154.349
Centros residenciales para mayores;Plazas;Localidades o Zonas de densidad intermedia;120.299
Centros residenciales para mayores;Plazas;Zonas rurales o Zonas escasamente pobladas;82.475
Centros residenciales para mayores;Residentes;Total;316.369
Centros residenciales para mayores;Residentes;Ciudades o Zonas densamente pobladas;135.634
Centros residenciales para mayores;Residentes;Localidades o Zonas de densidad intermedia;107.127
Centros residenciales para mayores;Residentes;Zonas rurales o Zonas escasamente pobladas;73.608
Centros para personas con discapacidad;Centros;Total;932
Centros para personas con discapacidad;Centros;Ciudades o Zonas densamente pobladas;443
Centros para personas con discapacidad;Centros;Localidades o Zonas de densidad intermedia;346
Centros para personas con discapacidad;Centros;Zonas rurales o Zonas escasamente pobladas;143
Centros para personas con discapacidad;Plazas;Total;41.106
Centros para personas con discapacidad;Plazas;Ciudades o Zonas densamente pobladas;20.740
Centros para personas con discapacidad;Plazas;Localidades o Zonas de densidad intermedia;14.285
Centros para personas con discapacidad;Plazas;Zonas rurales o Zonas escasamente pobladas;6.081
Centros para personas con discapacidad;Residentes;Total;37.454
Centros para personas con discapacidad;Residentes;Ciudades o Zonas densamente pobladas;18.617
Centros para personas con discapacidad;Residentes;Localidades o Zonas de densidad intermedia;13.338
Centros para personas con discapacidad;Residentes;Zonas rurales o Zonas escasamente pobladas;5.499
Viviendas tuteladas y/o supervisadas;Centros;Total;905
Viviendas tuteladas y/o supervisadas;Centros;Ciudades o Zonas densamente pobladas;435
Viviendas tuteladas y/o supervisadas;Centros;Localidades o Zonas de densidad intermedia;254
Viviendas tuteladas y/o supervisadas;Centros;Zonas rurales o Zonas escasamente pobladas;216
Viviendas tuteladas y/o supervisadas;Plazas;Total;9.235
Viviendas tuteladas y/o supervisadas;Plazas;Ciudades o Zonas densamente pobladas;4.339
Viviendas tuteladas y/o supervisadas;Plazas;Localidades o Zonas de densidad intermedia;2.346
Viviendas tuteladas y/o supervisadas;Plazas;Zonas rurales o Zonas escasamente pobladas;2.550
Viviendas tuteladas y/o supervisadas;Residentes;Total;7.903
Viviendas tuteladas y/o supervisadas;Residentes;Ciudades o Zonas densamente pobladas;3.913
Viviendas tuteladas y/o supervisadas;Residentes;Localidades o Zonas de densidad intermedia;2.099
Viviendas tuteladas y/o supervisadas;Residentes;Zonas rurales o Zonas escasamente pobladas;1.891
Hospitales psiquiátricos y geriátricos;Centros;Total;207
Hospitales psiquiátricos y geriátricos;Centros;Ciudades o Zonas densamente pobladas;132
Hospitales psiquiátricos y geriátricos;Centros;Localidades o Zonas de densidad intermedia;63
Hospitales psiquiátricos y geriátricos;Centros;Zonas rurales o Zonas escasamente pobladas;12
Hospitales psiquiátricos y geriátricos;Plazas;Total;28.386
Hospitales psiquiátricos y geriátricos;Plazas;Ciudades o Zonas densamente pobladas;18.626
Hospitales psiquiátricos y geriátricos;Plazas;Localidades o Zonas de densidad intermedia;8.315
Hospitales psiquiátricos y geriátricos;Plazas;Zonas rurales o Zonas escasamente pobladas;1.445
Hospitales psiquiátricos y geriátricos;Residentes;Total;0
Hospitales psiquiátricos y geriátricos;Residentes;Ciudades o Zonas densamente pobladas;0
Hospitales psiquiátricos y geriátricos;Residentes;Localidades o Zonas de densidad intermedia;0
Hospitales psiquiátricos y geriátricos;Residentes;Zonas rurales o Zonas escasamente pobladas;0
