DATAFLOW,LAST UPDATE,freq,factor,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Austria,2020,26.4,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Belgium,2020,17.1,bu,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Bulgaria,2020,16.3,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Switzerland,2020,16.7,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Cyprus,2020,13.5,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Czechia,2020,14.9,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Germany,2020,7.5,bu,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Denmark,2020,9.3,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Euro area - 19 countries  (2015-2022),2020,12.5,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Estonia,2020,19.3,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Greece,2020,17.5,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Spain,2020,10.5,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,European Union - 27 countries (from 2020),2020,13.6,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Finland,2020,7.1,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,France,2020,16.9,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Croatia,2020,18.9,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Hungary,2020,13.0,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Ireland,2020,23.3,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Iceland,2020,16.2,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Italy,2020,9.7,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Lithuania,2020,11.8,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Luxembourg,2020,15.3,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Latvia,2020,24.8,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Malta,2020,15.5,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Netherlands,2020,13.5,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Norway,2020,25.6,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Poland,2020,19.2,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Portugal,2020,16.6,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Romania,2020,23.3,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Sweden,2020,13.0,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Slovenia,2020,15.9,bu,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Females,Slovakia,2020,17.9,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Austria,2020,15.1,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Belgium,2020,11.1,bu,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Bulgaria,2020,11.2,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Switzerland,2020,12.9,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Cyprus,2020,9.6,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Czechia,2020,7.1,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Germany,2020,3.3,bu,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Denmark,2020,5.5,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Euro area - 19 countries  (2015-2022),2020,7.0,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Estonia,2020,10.0,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Greece,2020,12.1,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,Spain,2020,5.1,b,
ESTAT:HSW_EXP3(1.0),14/09/23 23:00:00,Annual,"Dealing with difficult customers, patients, pupils, etc.",From 15 to 34 years,Percentage of total employment,Males,European Union - 27 countries (from 2020),2020,7.7,b,
