DATAFLOW,LAST UPDATE,freq,sex,age,sizes,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Austria,2007,31.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Austria,2013,41.2,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Austria,2020,63.2,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Belgium,2007,14.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Belgium,2013,36.4,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Belgium,2020,59.5,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Bulgaria,2007,15.5,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Bulgaria,2013,15.5,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Bulgaria,2020,43.2,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Switzerland,2013,42.1,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Switzerland,2020,71.4,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Cyprus,2007,47.0,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Cyprus,2013,31.7,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Cyprus,2020,54.1,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Czechia,2007,13.4,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Czechia,2013,18.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Czechia,2020,29.7,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Germany,2007,14.1,u,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Germany,2013,18.7,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Germany,2020,29.0,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Denmark,2007,20.7,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Denmark,2013,16.6,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Denmark,2020,45.6,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Euro area - 19 countries  (2015-2022),2007,29.6,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Euro area - 19 countries  (2015-2022),2013,36.0,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Euro area - 19 countries  (2015-2022),2020,46.8,bu,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Estonia,2007,17.2,d,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Estonia,2013,28.4,,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Estonia,2020,41.8,b,
ESTAT:HSW_EXP9(1.0),14/09/23 23:00:00,Annual,Females,From 15 to 34 years,Large,Percentage of total employment,Greece,2007,15.0,,
