Edad;Residentes del centro;Sexo;Total
Total;Residentes ;Total;378.011
Total;Residentes ;Hombre;135.703
Total;Residentes ;Mujer;242.309
Total;Residentes con discapacidad;Total;357.894
Total;Residentes con discapacidad;Hombre;124.774
Total;Residentes con discapacidad;Mujer;233.121
De 6 a 64 años;Residentes ;Total;57.552
De 6 a 64 años;Residentes ;Hombre;34.139
De 6 a 64 años;Residentes ;Mujer;23.414
De 6 a 64 años;Residentes con discapacidad;Total;53.800
De 6 a 64 años;Residentes con discapacidad;Hombre;31.662
De 6 a 64 años;Residentes con discapacidad;Mujer;22.138
De 6 a 44 años;Residentes ;Total;16.869
De 6 a 44 años;Residentes ;Hombre;10.215
De 6 a 44 años;Residentes ;Mujer;6.654
De 6 a 44 años;Residentes con discapacidad;Total;15.567
De 6 a 44 años;Residentes con discapacidad;Hombre;9.443
De 6 a 44 años;Residentes con discapacidad;Mujer;6.124
De 45 a 64 años;Residentes ;Total;40.683
De 45 a 64 años;Residentes ;Hombre;23.924
De 45 a 64 años;Residentes ;Mujer;16.760
De 45 a 64 años;Residentes con discapacidad;Total;38.233
De 45 a 64 años;Residentes con discapacidad;Hombre;22.218
De 45 a 64 años;Residentes con discapacidad;Mujer;16.014
De 65 a 79 años;Residentes ;Total;79.473
De 65 a 79 años;Residentes ;Hombre;37.102
De 65 a 79 años;Residentes ;Mujer;42.372
De 65 a 79 años;Residentes con discapacidad;Total;71.561
De 65 a 79 años;Residentes con discapacidad;Hombre;32.554
De 65 a 79 años;Residentes con discapacidad;Mujer;39.008
De 65 a 69 años;Residentes ;Total;18.122
De 65 a 69 años;Residentes ;Hombre;9.684
De 65 a 69 años;Residentes ;Mujer;8.438
De 65 a 69 años;Residentes con discapacidad;Total;16.171
De 65 a 69 años;Residentes con discapacidad;Hombre;8.459
De 65 a 69 años;Residentes con discapacidad;Mujer;7.712
De 70 a 74 años;Residentes ;Total;24.864
De 70 a 74 años;Residentes ;Hombre;12.654
De 70 a 74 años;Residentes ;Mujer;12.210
De 70 a 74 años;Residentes con discapacidad;Total;21.755
De 70 a 74 años;Residentes con discapacidad;Hombre;10.840
De 70 a 74 años;Residentes con discapacidad;Mujer;10.915
De 75 a 79 años;Residentes ;Total;36.487
De 75 a 79 años;Residentes ;Hombre;14.763
De 75 a 79 años;Residentes ;Mujer;21.724
De 75 a 79 años;Residentes con discapacidad;Total;33.636
De 75 a 79 años;Residentes con discapacidad;Hombre;13.255
De 75 a 79 años;Residentes con discapacidad;Mujer;20.381
De 80 y más años;Residentes ;Total;240.985
De 80 y más años;Residentes ;Hombre;64.462
De 80 y más años;Residentes ;Mujer;176.523
De 80 y más años;Residentes con discapacidad;Total;232.533
De 80 y más años;Residentes con discapacidad;Hombre;60.558
De 80 y más años;Residentes con discapacidad;Mujer;171.975
De 80 a 84 años;Residentes ;Total;56.990
De 80 a 84 años;Residentes ;Hombre;18.890
De 80 a 84 años;Residentes ;Mujer;38.099
De 80 a 84 años;Residentes con discapacidad;Total;53.330
De 80 a 84 años;Residentes con discapacidad;Hombre;17.183
De 80 a 84 años;Residentes con discapacidad;Mujer;36.147
De 85 a 89 años;Residentes ;Total;77.826
De 85 a 89 años;Residentes ;Hombre;20.525
De 85 a 89 años;Residentes ;Mujer;57.301
De 85 a 89 años;Residentes con discapacidad;Total;75.327
De 85 a 89 años;Residentes con discapacidad;Hombre;19.294
De 85 a 89 años;Residentes con discapacidad;Mujer;56.033
De 90 y más años;Residentes ;Total;106.169
De 90 y más años;Residentes ;Hombre;25.046
De 90 y más años;Residentes ;Mujer;81.123
De 90 y más años;Residentes con discapacidad;Total;103.876
De 90 y más años;Residentes con discapacidad;Hombre;24.081
De 90 y más años;Residentes con discapacidad;Mujer;79.795
