Sexo;Edad;Grupo de discapacidad;Total
Total;Total;Total;357.894
Total;Total;Visión;84.579
Total;Total;Audición;86.315
Total;Total;Comunicación;221.069
Total;Total;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;225.512
Total;Total;Movilidad;308.351
Total;Total;Autocuidado;317.011
Total;Total;Vida doméstica;311.043
Total;Total;Interacciones y relaciones personales;142.482
Total;De 6 a 64 años;Total;53.800
Total;De 6 a 64 años;Visión;9.127
Total;De 6 a 64 años;Audición;3.749
Total;De 6 a 64 años;Comunicación;36.200
Total;De 6 a 64 años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;35.245
Total;De 6 a 64 años;Movilidad;38.765
Total;De 6 a 64 años;Autocuidado;44.084
Total;De 6 a 64 años;Vida doméstica;44.915
Total;De 6 a 64 años;Interacciones y relaciones personales;25.218
Total;De 65 a 79 años;Total;71.561
Total;De 65 a 79 años;Visión;13.224
Total;De 65 a 79 años;Audición;9.584
Total;De 65 a 79 años;Comunicación;37.292
Total;De 65 a 79 años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;38.573
Total;De 65 a 79 años;Movilidad;57.453
Total;De 65 a 79 años;Autocuidado;60.404
Total;De 65 a 79 años;Vida doméstica;59.204
Total;De 65 a 79 años;Interacciones y relaciones personales;26.113
Total;De 80 y más años;Total;232.533
Total;De 80 y más años;Visión;62.228
Total;De 80 y más años;Audición;72.982
Total;De 80 y más años;Comunicación;147.578
Total;De 80 y más años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;151.694
Total;De 80 y más años;Movilidad;212.134
Total;De 80 y más años;Autocuidado;212.523
Total;De 80 y más años;Vida doméstica;206.925
Total;De 80 y más años;Interacciones y relaciones personales;91.151
Hombre;Total;Total;124.774
Hombre;Total;Visión;26.250
Hombre;Total;Audición;25.564
Hombre;Total;Comunicación;73.368
Hombre;Total;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;70.992
Hombre;Total;Movilidad;100.233
Hombre;Total;Autocuidado;104.387
Hombre;Total;Vida doméstica;103.506
Hombre;Total;Interacciones y relaciones personales;48.568
Hombre;De 6 a 64 años;Total;31.662
Hombre;De 6 a 64 años;Visión;5.239
Hombre;De 6 a 64 años;Audición;1.859
Hombre;De 6 a 64 años;Comunicación;21.243
Hombre;De 6 a 64 años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;20.312
Hombre;De 6 a 64 años;Movilidad;23.030
Hombre;De 6 a 64 años;Autocuidado;25.323
Hombre;De 6 a 64 años;Vida doméstica;26.141
Hombre;De 6 a 64 años;Interacciones y relaciones personales;15.049
Hombre;De 65 a 79 años;Total;32.554
Hombre;De 65 a 79 años;Visión;6.117
Hombre;De 65 a 79 años;Audición;4.177
Hombre;De 65 a 79 años;Comunicación;16.601
Hombre;De 65 a 79 años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;16.246
Hombre;De 65 a 79 años;Movilidad;25.063
Hombre;De 65 a 79 años;Autocuidado;26.524
Hombre;De 65 a 79 años;Vida doméstica;26.348
Hombre;De 65 a 79 años;Interacciones y relaciones personales;11.392
Hombre;De 80 y más años;Total;60.558
Hombre;De 80 y más años;Visión;14.894
Hombre;De 80 y más años;Audición;19.528
Hombre;De 80 y más años;Comunicación;35.525
Hombre;De 80 y más años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;34.433
Hombre;De 80 y más años;Movilidad;52.140
Hombre;De 80 y más años;Autocuidado;52.540
Hombre;De 80 y más años;Vida doméstica;51.017
Hombre;De 80 y más años;Interacciones y relaciones personales;22.128
Mujer;Total;Total;233.121
Mujer;Total;Visión;58.329
Mujer;Total;Audición;60.751
Mujer;Total;Comunicación;147.701
Mujer;Total;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;154.520
Mujer;Total;Movilidad;208.118
Mujer;Total;Autocuidado;212.624
Mujer;Total;Vida doméstica;207.537
Mujer;Total;Interacciones y relaciones personales;93.914
Mujer;De 6 a 64 años;Total;22.138
Mujer;De 6 a 64 años;Visión;3.888
Mujer;De 6 a 64 años;Audición;1.890
Mujer;De 6 a 64 años;Comunicación;14.958
Mujer;De 6 a 64 años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;14.933
Mujer;De 6 a 64 años;Movilidad;15.734
Mujer;De 6 a 64 años;Autocuidado;18.761
Mujer;De 6 a 64 años;Vida doméstica;18.773
Mujer;De 6 a 64 años;Interacciones y relaciones personales;10.169
Mujer;De 65 a 79 años;Total;39.008
Mujer;De 65 a 79 años;Visión;7.108
Mujer;De 65 a 79 años;Audición;5.407
Mujer;De 65 a 79 años;Comunicación;20.691
Mujer;De 65 a 79 años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;22.326
Mujer;De 65 a 79 años;Movilidad;32.390
Mujer;De 65 a 79 años;Autocuidado;33.880
Mujer;De 65 a 79 años;Vida doméstica;32.856
Mujer;De 65 a 79 años;Interacciones y relaciones personales;14.721
Mujer;De 80 y más años;Total;171.975
Mujer;De 80 y más años;Visión;47.333
Mujer;De 80 y más años;Audición;53.453
Mujer;De 80 y más años;Comunicación;112.053
Mujer;De 80 y más años;Aprendizaje, aplicación del conocimiento y desarrollo de tareas;117.261
Mujer;De 80 y más años;Movilidad;159.994
Mujer;De 80 y más años;Autocuidado;159.983
Mujer;De 80 y más años;Vida doméstica;155.908
Mujer;De 80 y más años;Interacciones y relaciones personales;69.023
